,stop_name,direction_id,service_date_day,delay_time,month,Temp_Avg,Precipitation,Day_of_Week,slow_day_flag
36,Assembly,0,2020-02-06,101.0,2,37.5,0.44,3,0
37,Assembly,0,2020-02-07,107.0,2,43.0,0.32,4,1
38,Assembly,0,2020-02-08,357.5,2,31.0,0.0,5,0
39,Assembly,0,2020-02-09,326.0,2,29.0,0.0,6,1
40,Assembly,0,2020-02-10,103.0,2,42.5,0.16,0,0
41,Assembly,0,2020-02-11,105.0,2,42.5,0.17,1,0
42,Assembly,0,2020-02-12,102.0,2,41.0,0.0,2,0
43,Assembly,0,2020-02-13,102.0,2,38.0,0.53,3,0
44,Assembly,0,2020-02-14,104.5,2,27.5,0.0,4,1
45,Assembly,0,2020-02-15,333.0,2,21.5,0.0,5,1
46,Assembly,0,2020-02-16,300.0,2,37.5,0.0,6,1
47,Assembly,0,2020-02-17,101.0,2,40.0,0.0,0,1
48,Assembly,0,2020-02-18,104.0,2,36.5,0.45,1,0
49,Assembly,0,2020-02-19,102.0,2,39.0,0.0,2,0
50,Assembly,0,2020-02-20,102.0,2,30.5,0.0,3,0
51,Assembly,0,2020-02-21,102.0,2,25.0,0.0,4,0
52,Assembly,0,2020-02-22,101.0,2,39.0,0.0,5,1
53,Assembly,0,2020-02-23,100.0,2,46.0,0.0,6,0
54,Assembly,0,2020-02-24,102.0,2,49.5,0.0,0,0
55,Assembly,0,2020-02-25,103.0,2,48.0,0.26,1,0
56,Assembly,0,2020-02-26,102.0,2,46.0,0.15,2,0
57,Assembly,0,2020-02-27,103.0,2,44.0,0.75,3,1
58,Assembly,0,2020-02-28,102.0,2,33.0,0.0,4,0
59,Assembly,0,2020-02-29,99.0,2,28.5,0.0,5,0
60,Assembly,0,2020-03-01,99.0,3,26.0,0.0,6,0
61,Assembly,0,2020-03-02,102.0,3,37.5,0.0,0,1
62,Assembly,0,2020-03-03,103.0,3,52.5,0.03,1,0
63,Assembly,0,2020-03-04,102.0,3,45.5,0.03,2,1
64,Assembly,0,2020-03-05,100.0,3,44.0,0.0,3,0
65,Assembly,0,2020-03-06,100.0,3,38.0,0.0,4,0
66,Assembly,0,2020-03-07,100.0,3,37.0,0.0,5,0
67,Assembly,0,2020-03-08,99.0,3,42.0,0.0,6,0
68,Assembly,0,2020-03-09,102.0,3,57.0,0.0,0,0
69,Assembly,0,2020-03-10,103.0,3,53.0,0.0,1,1
70,Assembly,0,2020-03-11,103.0,3,48.0,0.0,2,1
71,Assembly,0,2020-03-12,99.5,3,38.5,0.0,3,1
72,Assembly,0,2020-03-13,98.0,3,51.0,0.29,4,0
73,Assembly,0,2020-03-14,95.0,3,45.5,0.0,5,1
74,Assembly,0,2020-03-15,98.0,3,36.5,0.0,6,1
75,Assembly,0,2020-03-16,98.0,3,29.5,0.0,0,0
76,Assembly,0,2020-03-17,97.0,3,38.0,0.03,1,0
77,Assembly,0,2020-03-18,97.0,3,44.0,0.0,2,0
78,Assembly,0,2020-03-19,100.0,3,40.5,0.56,3,0
79,Assembly,0,2020-03-20,98.0,3,53.0,0.02,4,0
80,Assembly,0,2020-03-21,96.0,3,44.0,0.0,5,0
81,Assembly,0,2020-03-22,96.0,3,29.0,0.0,6,0
82,Assembly,0,2020-03-23,98.0,3,34.5,1.38,0,0
83,Assembly,0,2020-03-24,96.0,3,41.5,0.35,1,0
84,Assembly,0,2020-03-25,96.0,3,40.0,0.0,2,0
85,Assembly,0,2020-03-26,97.0,3,39.0,0.0,3,0
86,Assembly,0,2020-03-27,96.0,3,52.0,0.01,4,0
87,Assembly,0,2020-03-28,98.0,3,42.0,0.08,5,0
88,Assembly,0,2020-03-29,97.0,3,41.0,0.74,6,0
89,Assembly,0,2020-03-30,99.0,3,40.0,0.08,0,0
90,Assembly,0,2020-03-31,98.0,3,36.5,0.0,1,0
91,Assembly,0,2020-04-01,96.0,4,37.0,0.0,2,0
92,Assembly,0,2020-04-02,99.0,4,43.0,0.13,3,0
93,Assembly,0,2020-04-03,98.0,4,43.0,0.83,4,0
94,Assembly,0,2020-04-04,97.0,4,41.5,0.04,5,0
95,Assembly,0,2020-04-05,97.5,4,46.5,0.0,6,0
96,Assembly,0,2020-04-06,97.0,4,53.0,0.0,0,1
97,Assembly,0,2020-04-07,96.0,4,54.0,0.0,1,1
98,Assembly,0,2020-04-08,96.0,4,45.0,0.07,2,0
99,Assembly,0,2020-04-09,97.0,4,44.5,0.64,3,1
100,Assembly,0,2020-04-10,96.5,4,43.0,0.01,4,0
101,Assembly,0,2020-04-11,96.0,4,44.5,0.0,5,0
102,Assembly,0,2020-04-12,97.0,4,47.5,0.0,6,0
103,Assembly,0,2020-04-13,98.0,4,55.5,0.56,0,1
104,Assembly,0,2020-04-14,95.5,4,51.5,0.0,1,0
105,Assembly,0,2020-04-15,96.0,4,45.5,0.0,2,0
106,Assembly,0,2020-04-16,95.0,4,40.5,0.0,3,0
107,Assembly,0,2020-04-17,95.0,4,41.5,0.01,4,1
108,Assembly,0,2020-04-18,97.5,4,36.5,0.67,5,1
109,Assembly,0,2020-04-19,98.0,4,49.0,0.0,6,0
110,Assembly,0,2020-04-20,97.0,4,44.5,0.0,0,0
111,Assembly,0,2020-04-21,96.0,4,44.0,0.33,1,0
112,Assembly,0,2020-04-22,97.0,4,39.0,0.0,2,1
113,Assembly,0,2020-04-23,95.0,4,44.5,0.0,3,0
114,Assembly,0,2020-04-24,97.0,4,42.0,0.21,4,0
115,Assembly,0,2020-04-25,96.0,4,45.0,0.0,5,0
116,Assembly,0,2020-04-26,97.0,4,44.0,0.22,6,0
117,Assembly,0,2020-04-27,96.0,4,39.5,0.6,0,0
118,Assembly,0,2020-04-28,97.0,4,41.0,0.01,1,0
119,Assembly,0,2020-04-29,94.0,4,43.5,0.0,2,0
120,Assembly,0,2020-04-30,96.0,4,47.0,0.0,3,0
121,Assembly,0,2020-05-01,97.0,5,55.0,0.79,4,0
122,Assembly,0,2020-05-02,96.0,5,58.0,0.01,5,1
123,Assembly,0,2020-05-03,98.0,5,65.5,0.0,6,1
124,Assembly,0,2020-05-04,97.0,5,59.0,0.0,0,0
125,Assembly,0,2020-05-05,95.0,5,51.0,0.0,1,0
126,Assembly,0,2020-05-06,96.0,5,46.0,0.01,2,0
127,Assembly,0,2020-05-07,97.0,5,53.0,0.0,3,0
128,Assembly,0,2020-05-08,96.5,5,50.0,0.25,4,0
129,Assembly,0,2020-05-09,96.0,5,40.0,0.12,5,0
130,Assembly,0,2020-05-10,95.0,5,47.0,0.0,6,0
131,Assembly,0,2020-05-11,97.0,5,53.0,0.23,0,0
132,Assembly,0,2020-05-12,95.0,5,48.5,0.0,1,0
133,Assembly,0,2020-05-13,96.0,5,48.5,0.0,2,0
134,Assembly,0,2020-05-14,95.0,5,57.0,0.0,3,0
135,Assembly,0,2020-05-15,96.0,5,62.5,0.67,4,0
136,Assembly,0,2020-05-16,97.0,5,58.5,0.04,5,0
137,Assembly,0,2020-05-17,96.0,5,56.0,0.0,6,0
138,Assembly,0,2020-05-18,95.0,5,52.5,0.0,0,1
139,Assembly,0,2020-05-19,94.5,5,51.0,0.0,1,0
140,Assembly,0,2020-05-20,96.5,5,51.5,0.0,2,0
141,Assembly,0,2020-05-21,97.0,5,61.0,0.0,3,0
142,Assembly,0,2020-05-22,97.0,5,68.0,0.0,4,0
143,Assembly,0,2020-05-23,94.0,5,59.5,0.0,5,0
144,Assembly,0,2020-05-24,97.0,5,49.0,0.0,6,0
145,Assembly,0,2020-05-25,96.0,5,51.5,0.0,0,0
146,Assembly,0,2020-05-26,96.0,5,60.0,0.0,1,0
147,Assembly,0,2020-05-27,96.0,5,71.5,0.0,2,0
148,Assembly,0,2020-05-28,96.0,5,71.0,0.0,3,1
149,Assembly,0,2020-05-29,97.0,5,73.5,0.0,4,0
150,Assembly,0,2020-05-30,97.0,5,72.5,0.09,5,0
151,Assembly,0,2020-05-31,98.0,5,59.0,0.0,6,1
152,Assembly,0,2020-06-01,98.0,6,55.5,0.0,0,0
153,Assembly,0,2020-06-02,98.0,6,56.5,0.02,1,0
154,Assembly,0,2020-06-03,97.5,6,67.5,0.01,2,0
155,Assembly,0,2020-06-04,99.0,6,74.0,0.0,3,0
156,Assembly,0,2020-06-05,100.0,6,72.5,0.16,4,1
157,Assembly,0,2020-06-06,97.0,6,75.5,0.14,5,0
158,Assembly,0,2020-06-07,98.0,6,61.0,0.0,6,0
159,Assembly,0,2020-06-08,98.0,6,67.0,0.0,0,0
160,Assembly,0,2020-06-09,97.0,6,70.0,0.0,1,0
161,Assembly,0,2020-06-10,97.0,6,62.0,0.0,2,1
162,Assembly,0,2020-06-11,97.0,6,69.0,0.74,3,1
163,Assembly,0,2020-06-12,98.0,6,74.5,0.0,4,1
164,Assembly,0,2020-06-13,96.5,6,62.5,0.0,5,0
165,Assembly,0,2020-06-14,96.0,6,59.5,0.0,6,0
166,Assembly,0,2020-06-15,96.0,6,60.0,0.0,0,0
167,Assembly,0,2020-06-16,96.0,6,62.5,0.0,1,0
168,Assembly,0,2020-06-17,97.0,6,64.5,0.0,2,0
169,Assembly,0,2020-06-18,99.0,6,75.0,0.0,3,1
170,Assembly,0,2020-06-19,99.0,6,77.5,0.0,4,1
171,Assembly,0,2020-06-20,98.5,6,80.5,0.0,5,0
172,Assembly,0,2020-06-21,100.0,6,77.0,0.0,6,1
173,Assembly,0,2020-06-22,98.0,6,66.5,0.0,0,0
174,Assembly,0,2020-06-23,98.0,6,75.5,0.0,1,0
175,Assembly,0,2020-06-24,99.0,6,77.0,0.01,2,0
176,Assembly,0,2020-06-25,101.0,6,77.5,0.0,3,0
177,Assembly,0,2020-06-26,100.0,6,76.5,0.0,4,0
178,Assembly,0,2020-06-27,99.0,6,74.0,0.02,5,1
179,Assembly,0,2020-06-28,101.0,6,72.5,1.19,6,1
180,Assembly,0,2020-06-29,99.0,6,68.0,0.19,0,1
181,Assembly,0,2020-06-30,98.0,6,65.5,0.18,1,0
182,Assembly,0,2020-07-01,99.0,7,67.5,0.07,2,0
183,Assembly,0,2020-07-02,100.0,7,74.5,0.0,3,1
184,Assembly,0,2020-07-03,98.0,7,69.5,0.0,4,0
185,Assembly,0,2020-07-04,97.0,7,65.5,0.0,5,0
186,Assembly,0,2020-07-05,98.0,7,71.5,0.11,6,0
187,Assembly,0,2020-07-06,98.0,7,66.5,0.0,0,1
188,Assembly,0,2020-07-07,99.0,7,71.0,0.0,1,0
189,Assembly,0,2020-07-08,101.0,7,76.0,0.0,2,1
190,Assembly,0,2020-07-09,101.5,7,79.0,0.0,3,1
191,Assembly,0,2020-07-10,101.0,7,73.5,0.0,4,0
192,Assembly,0,2020-07-11,99.5,7,79.0,0.01,5,1
193,Assembly,0,2020-07-12,100.0,7,80.5,0.0,6,1
194,Assembly,0,2020-07-13,98.0,7,77.0,0.07,0,0
195,Assembly,0,2020-07-14,99.0,7,71.0,0.62,1,0
196,Assembly,0,2020-07-15,100.0,7,66.0,0.07,2,1
197,Assembly,0,2020-07-16,100.0,7,64.5,0.0,3,0
198,Assembly,0,2020-07-17,102.0,7,66.5,0.11,4,1
199,Assembly,0,2020-07-18,100.0,7,79.5,0.0,5,1
200,Assembly,0,2020-07-19,100.0,7,82.5,0.0,6,0
201,Assembly,0,2020-07-20,100.0,7,84.0,0.0,0,0
202,Assembly,0,2020-07-21,101.0,7,82.0,0.0,1,0
203,Assembly,0,2020-07-22,98.0,7,73.5,0.32,2,0
204,Assembly,0,2020-07-23,100.0,7,78.5,0.57,3,0
205,Assembly,0,2020-07-24,99.0,7,74.5,0.0,4,1
206,Assembly,0,2020-07-25,102.0,7,76.0,0.0,5,1
207,Assembly,0,2020-07-26,99.0,7,82.0,0.0,6,0
208,Assembly,0,2020-07-27,100.0,7,85.0,0.0,0,0
209,Assembly,0,2020-07-28,101.0,7,86.5,0.0,1,0
210,Assembly,0,2020-07-29,102.0,7,80.0,0.0,2,0
211,Assembly,0,2020-07-30,100.5,7,78.5,0.0,3,0
212,Assembly,0,2020-07-31,101.0,7,72.5,0.0,4,0
213,Assembly,0,2020-08-01,99.0,8,75.0,0.0,5,1
214,Assembly,0,2020-08-02,101.0,8,78.5,0.07,6,1
215,Assembly,0,2020-08-03,101.0,8,82.5,0.0,0,0
216,Assembly,0,2020-08-04,101.0,8,74.5,0.17,1,1
217,Assembly,0,2020-08-05,101.0,8,81.0,0.0,2,0
218,Assembly,0,2020-08-06,101.0,8,76.0,0.0,3,1
219,Assembly,0,2020-08-07,102.0,8,70.5,0.0,4,1
220,Assembly,0,2020-08-08,100.0,8,72.0,0.0,5,1
221,Assembly,0,2020-08-09,101.0,8,79.0,0.0,6,0
222,Assembly,0,2020-08-10,100.0,8,83.0,0.0,0,1
223,Assembly,0,2020-08-11,100.0,8,83.5,0.0,1,1
224,Assembly,0,2020-08-12,100.0,8,83.5,0.0,2,1
225,Assembly,0,2020-08-13,101.0,8,76.0,0.0,3,1
226,Assembly,0,2020-08-14,101.0,8,74.0,0.0,4,0
227,Assembly,0,2020-08-15,99.0,8,67.0,0.0,5,1
228,Assembly,0,2020-08-16,98.0,8,67.5,0.16,6,0
229,Assembly,0,2020-08-17,98.0,8,66.5,0.08,0,0
230,Assembly,0,2020-08-18,101.0,8,76.0,0.16,1,1
231,Assembly,0,2020-08-19,101.0,8,69.0,0.06,2,0
232,Assembly,0,2020-08-20,99.0,8,71.0,0.0,3,0
233,Assembly,0,2020-08-21,102.0,8,76.0,0.0,4,1
234,Assembly,0,2020-08-22,99.0,8,74.5,0.0,5,0
235,Assembly,0,2020-08-23,101.0,8,77.5,1.33,6,1
236,Assembly,0,2020-08-24,101.0,8,77.0,0.0,0,0
237,Assembly,0,2020-08-25,103.0,8,78.5,0.0,1,1
238,Assembly,0,2020-08-26,103.0,8,68.0,0.0,2,1
